slug,title,issue,link_text,href,normalized_href,link_type
common-surfing-injuries,Common Surfing Injuries And How To Prevent Them,EXTRA_IN_SANITY,3 yoga poses to try before surfing,/blog/3-yoga-poses-before-surfing,/blog/3-yoga-poses-before-surfing,internal
currency-bali,Bali Currency 101: Understanding the Rupiah,MISSING_IN_SANITY,by OANDA,https://www.oanda.com/currency/converter/,https://www.oanda.com/currency/converter,external
donegal-bay-mullaghmore-ireland,Donegal Bay’s Mullaghmore: Ireland’s Answer To Big Wave Surfing,MISSING_IN_SANITY,Red Bull Surfing,https://www.youtube.com/@RedBullSurfing,https://www.youtube.com/@redbullsurfing,external
donegal-bay-mullaghmore-ireland,Donegal Bay’s Mullaghmore: Ireland’s Answer To Big Wave Surfing,MISSING_IN_SANITY,Giuseppe Milo,https://www.flickr.com/photos/giuseppemilo/,https://www.flickr.com/photos/giuseppemilo,external
eco-surf-rescue-uluwatu,Eco Surf Rescue Uluwatu: Keeping Uluwatu Clean!,MISSING_IN_SANITY,interviewed,https://xgames.espn.go.com/article/7265532/eco-warrior-james-pribram-returns-uluwatu-mission,https://xgames.espn.go.com/article/7265532/eco-warrior-james-pribram-returns-uluwatu-mission,external
expert-travels-tips-first-learn-to-surf-trip-to-bali,8 Travel Tips for your Beginner Surf Trip to Bali,MISSING_IN_SANITY,beginner-friendly surf camps in Bali,https://www.rapturecamps.com/learning-to-surf-in-bali-heres-how-to-avoid-the-crowds-and-catch-more-waves/,/learning-to-surf-in-bali-heres-how-to-avoid-the-crowds-and-catch-more-waves,internal
expert-travels-tips-first-learn-to-surf-trip-to-bali,8 Travel Tips for your Beginner Surf Trip to Bali,MISSING_IN_SANITY,160 nationalities,https://www.indonesia.travel/in/en/trip-ideas/visa-free-for-169-countries-to-travel-to-indonesia,https://www.indonesia.travel/in/en/trip-ideas/visa-free-for-169-countries-to-travel-to-indonesia,external
expert-travels-tips-first-learn-to-surf-trip-to-bali,8 Travel Tips for your Beginner Surf Trip to Bali,MISSING_IN_SANITY,Cliff or Padang Padang surf camps,https://www.rapturecamps.com/surfing-bali-beginners-5-novice-surf-spots/,/surfing-bali-beginners-5-novice-surf-spots,internal
expert-travels-tips-first-learn-to-surf-trip-to-bali,8 Travel Tips for your Beginner Surf Trip to Bali,MISSING_IN_SANITY,surf trip to Bali,https://www.rapturecamps.com/blog/surf-lessons-bali/,/blog/surf-lessons-bali,internal
expert-travels-tips-first-learn-to-surf-trip-to-bali,8 Travel Tips for your Beginner Surf Trip to Bali,MISSING_IN_SANITY,check out the rest of this beautiful island,https://www.rapturecamps.com/8-reasons-why-bali-is-one-of-the-best-surfing-destinations-in-the-world/,/8-reasons-why-bali-is-one-of-the-best-surfing-destinations-in-the-world,internal
expert-travels-tips-first-learn-to-surf-trip-to-bali,8 Travel Tips for your Beginner Surf Trip to Bali,EXTRA_IN_SANITY,beginner-friendly surf camps in Bali,/blog/avoid-crowd-and-catch-more-waves-in-bali,/blog/avoid-crowd-and-catch-more-waves-in-bali,internal
expert-travels-tips-first-learn-to-surf-trip-to-bali,8 Travel Tips for your Beginner Surf Trip to Bali,EXTRA_IN_SANITY,Cliff or Padang Padang surf camps,/blog/10-best-surf-spots-in-bali,/blog/10-best-surf-spots-in-bali,internal
expert-travels-tips-first-learn-to-surf-trip-to-bali,8 Travel Tips for your Beginner Surf Trip to Bali,EXTRA_IN_SANITY,surf trip to Bali,/blog/tips-to-choose-surf-lessons-in-bali,/blog/tips-to-choose-surf-lessons-in-bali,internal
expert-travels-tips-first-learn-to-surf-trip-to-bali,8 Travel Tips for your Beginner Surf Trip to Bali,EXTRA_IN_SANITY,check out the rest of this beautiful island,/blog/8-reasons-why-bali-is-one-of-the-best-surfing-destinations-in-the-world,/blog/8-reasons-why-bali-is-one-of-the-best-surfing-destinations-in-the-world,internal
from-our-surf-house-in-ericeira-paddle-to-purpose,From our surf house in Ericeira: Paddle to Purpose,MISSING_IN_SANITY,WATCH NOW,https://www.paddletopurpose.com/,https://www.paddletopurpose.com,external
gifts-for-surfers-2024,Top-Rated Gifts for Surfers: 2024 Must-Haves,MISSING_IN_SANITY,,https://shop.rapturecamps.com/product-category/beach-towels/,https://shop.rapturecamps.com/product-category/beach-towels,external
gifts-for-surfers-2024,Top-Rated Gifts for Surfers: 2024 Must-Haves,MISSING_IN_SANITY,Rapture Surfcamps’ water bottle,https://shop.rapturecamps.com/product/water-bottle/,https://shop.rapturecamps.com/product/water-bottle,external
gifts-for-surfers-2024,Top-Rated Gifts for Surfers: 2024 Must-Haves,MISSING_IN_SANITY,Rapture Surfcamps offers a couple of options,https://shop.rapturecamps.com/product-category/beach-towels/,https://shop.rapturecamps.com/product-category/beach-towels,external
gifts-for-surfers-2024,Top-Rated Gifts for Surfers: 2024 Must-Haves,MISSING_IN_SANITY,awesome casualwear here,https://shop.rapturecamps.com/shop/,https://shop.rapturecamps.com/shop,external
gifts-for-surfers-2024,Top-Rated Gifts for Surfers: 2024 Must-Haves,MISSING_IN_SANITY,beautifully framed poster,https://shop.rapturecamps.com/product/matte-paper-framed-poster-with-mat/,https://shop.rapturecamps.com/product/matte-paper-framed-poster-with-mat,external
gifts-for-surfers-2024,Top-Rated Gifts for Surfers: 2024 Must-Haves,MISSING_IN_SANITY,Rapture Surfcamps’s online shop,https://shop.rapturecamps.com/#_ga=2.69846162.388105430.1723112534-1432473239.1715848818,https://shop.rapturecamps.com/#_ga=2.69846162.388105430.1723112534-1432473239.1715848818,external
high-surf-warnings,High Surf Warnings: Everything You Need To Know,MISSING_IN_SANITY,National Weather Service,https://www.weather.gov/media/gum/safety/High%20Surf%20Advisory%20Brochure.pdf,https://www.weather.gov/media/gum/safety/high%20surf%20advisory%20brochure.pdf,external
how-many-calories-do-you-burn-surfing,How Many Calories Do You Burn Surfing?,MISSING_IN_SANITY,surfing that can be a workout,https://www.rapturecamps.com/surf-workout-plans/,/surf-workout-plans,internal
